Student_id,First_name,Last_name,E-mail,Gender,Age,Department,Attendance(%),Midterm_score,Final_score,Assignment_avg,Quizzes_avg,Participation_score,Project_score,Total_score,Grade,Study_hours_per_week
1,Pooja,Modi,pooja1@gmail.com,Female,19,CS,77.06,56.05,54.68,95.68,94.16,49.44,74.79,70.8,B,29.9
2,Priya,Patel,priya2@gmail.com,Male,19,Business,86.44,77.96,71.17,58.95,49.64,59.57,96.81,69.02,C,26.9
3,Amit,Parekh,amit3@gmail.com,Female,18,CS,51.94,46.91,38.78,71.19,55.06,81.26,94.59,64.63,C,9
4,Priya,Mehta,priya4@gmail.com,Female,21,CS,73.18,60,32.17,42.68,53.54,89.29,43.14,53.47,D,6.9
5,Anjali,Joshi,anjali5@gmail.com,Female,23,Engineering,68.2,35.56,41.53,88.16,57.4,59.95,45.29,54.65,D,20.7
6,Rahul,Trivedi,rahul6@gmail.com,Male,18,Business,65.99,49.37,38.94,74.51,83.23,21.8,73.72,56.93,D,20.7
7,Amit,Desai,amit7@gmail.com,Female,23,Mathematics,89.08,75.92,57.22,46.63,94.3,84.8,50.46,68.22,C,24.8
8,Karan,Patel,karan8@gmail.com,Female,23,CS,58.87,37.69,41.12,62.54,56.17,69.87,45.95,52.22,D,28.3
9,Anjali,Joshi,anjali9@gmail.com,Female,18,Mathematics,94.54,86.69,88.6,89.45,44.98,43.99,66.26,70,B,8
10,Sneha,Joshi,sneha10@gmail.com,Female,22,Business,93.54,89.68,44.44,72.16,98.26,30.06,48.03,63.77,C,10.4
11,Anjali,Shah,anjali11@gmail.com,Male,23,Mathematics,75.2,85.41,67.71,97.48,70.18,85.83,80.79,81.23,B,12.8
12,Amit,Joshi,amit12@gmail.com,Male,24,CS,89.16,32.08,60.06,73.72,66.53,51.49,65.82,58.28,D,11.1
13,Neha,Desai,neha13@gmail.com,Male,21,Engineering,93.61,68,77.66,95.71,92.41,89.35,99.32,87.08,A,22.7
14,Karan,Modi,karan14@gmail.com,Male,21,Mathematics,82.51,90.31,67.56,80.38,44.7,25.92,85.72,65.77,C,24.7
15,Pooja,Joshi,pooja15@gmail.com,Female,24,CS,74.23,95.61,66.28,63.7,77.66,66.1,87.11,76.08,B,17.6
16,Amit,Desai,amit16@gmail.com,Male,23,Mathematics,86.73,36.93,76.37,45.14,88.98,54.52,93.86,65.97,C,14.4
17,Sneha,Parekh,sneha17@gmail.com,Female,22,Business,55.86,95.94,32.43,93.34,60.13,65.87,83.31,71.84,B,5.1
18,Rohit,Shah,rohit18@gmail.com,Female,22,Engineering,51.36,56.52,99.33,50.22,62.46,98.12,38.74,67.56,C,10.3
19,Vishal,Desai,vishal19@gmail.com,Female,22,Business,95.09,86.91,53.73,87,92.84,98.34,71.62,81.74,B,6.4
20,Anjali,Trivedi,anjali20@gmail.com,Female,22,Business,53.05,73.94,53.15,40.21,74.81,69.21,78.9,65.04,C,30
21,Rahul,Desai,rahul21@gmail.com,Female,18,Mathematics,82.25,80.48,93.22,44.47,80.18,88.86,39.79,71.17,B,23.4
22,Karan,Modi,karan22@gmail.com,Female,24,Engineering,92.15,41.24,80.26,47.71,89.39,93.93,34.35,64.48,C,16.9
23,Neha,Parekh,neha23@gmail.com,Male,25,Mathematics,76.75,99.65,82.44,94.22,47.04,39.64,46.32,68.22,C,26.4
24,Rahul,Trivedi,rahul24@gmail.com,Male,19,Business,74.71,47.87,55.59,98.7,95.65,99.23,52.14,74.86,B,19.1
25,Anjali,Parekh,anjali25@gmail.com,Female,23,Business,80.86,76.38,96.38,52.96,77.31,96.33,77.99,79.56,B,23.7
26,Sneha,Shah,sneha26@gmail.com,Male,18,Engineering,95.88,59.03,99.93,61.1,40.51,28.35,42.99,55.32,D,18.8
27,Pooja,Patel,pooja27@gmail.com,Female,23,Business,62.28,34.34,93.15,72.86,64.83,88.2,80.42,72.3,B,20.7
28,Rohit,Joshi,rohit28@gmail.com,Male,22,Business,95.86,86.49,49.42,98.58,91.96,81.11,47.13,75.78,B,26.6
29,Sneha,Joshi,sneha29@gmail.com,Female,19,Mathematics,83.48,92.11,89.2,97.73,64.87,97.88,74.67,86.08,A,21.4
30,Rohit,Shah,rohit30@gmail.com,Female,19,Business,83.22,37.54,59.85,49,50.72,97.43,64.99,59.92,D,5.1
31,Priya,Joshi,priya31@gmail.com,Female,22,Engineering,69.79,80.75,34.58,49.01,54.91,92.52,34.42,57.7,D,18.1
32,Karan,Modi,karan32@gmail.com,Female,25,CS,88.39,64.41,35.19,76.37,92.36,25.47,99.78,65.6,C,23.9
33,Anjali,Parekh,anjali33@gmail.com,Male,21,Mathematics,96.7,38.43,31.83,98.85,47.55,48.04,63.66,54.73,D,7.1
34,Rahul,Modi,rahul34@gmail.com,Female,24,CS,67.73,37.76,33.92,54.56,81.54,97.99,73.79,63.26,C,24.1
35,Vishal,Patel,vishal35@gmail.com,Female,24,Engineering,54.23,53.17,91.35,53.76,52.96,89,48.74,64.83,C,26
36,Priya,Mehta,priya36@gmail.com,Female,21,Business,77.51,80.43,63.99,45.66,85.76,34.18,30.95,56.83,D,6.6
37,Amit,Desai,amit37@gmail.com,Female,20,Mathematics,57.63,93.84,50.17,67.33,52.75,43.77,67.05,62.48,C,24.1
38,Pooja,Joshi,pooja38@gmail.com,Male,25,Engineering,83.44,48.39,57.65,61.8,88.84,39.98,60.05,59.45,D,29.8
39,Priya,Trivedi,priya39@gmail.com,Female,24,Engineering,88.8,64.57,84.54,88.93,82.09,80.23,76.84,79.53,B,14.2
40,Anjali,Desai,anjali40@gmail.com,Female,20,CS,54.7,63.7,80.74,85.31,41.6,54.68,94.06,70.02,B,10.7
